id;country;street_address;postal_code;city;state_province
1;Malawi;cross-platform;Grocery haptic calculate;Dallasfurt;algorithm Pants
2;Italy;Savings Account cross-platform Colombia;virtual;Garretside;Peso Uruguayo Uruguay Peso en Unidades Indexadas Wisconsin Frozen
3;Turkey;Sports Falkland Islands (Malvinas) cross-platform;index bricks-and-clicks Secured;Granthaven;Savings Account Reverse-engineered
4;Wallis and Futuna;Car Granite stable;Outdoors;Brennanville;Steel SCSI
5;Moldova;Diverse;payment SAS;Lake Arvidmouth;Forward Refined Frozen Cheese Mali
6;Venezuela;Plastic Small Soft Pizza;extend Fully-configurable e-services;Lake Julio;Exclusive Incredible Fresh Keyboard
7;Namibia;Designer Beauty;solutions;New Stellashire;mobile
8;Greece;infomediaries Martinique turn-key;synthesize;Kearaport;JBOD
9;Pakistan;calculating Checking Account;Movies Democratic People's Republic of Korea synthesizing;North Pete;embrace Forward
10;Algeria;connect TCP Mauritius;interface Concrete yellow;West Xzavier;bandwidth CSS Nicaragua
